,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
127,Research Scientist - Efficient machine learning for time-series data,Employer Provided Salary:$103K,"The Opportunity
Our Distributed Sensing Systems (DSS) group is one of the leading large-scale sensing and analytics groups in the world, based in Brisbane, Queensland, Australia. We are part of the Cyber-Physical Research Program at CSIRO’s Data61 Business Unit. The group’s research focuses on creating integrated sensing, AI/ML, and telemetry technologies that will radically improve the cost and quality of data gathering on a large scale to enhance the understanding of our natural and built environments.
An innovative and collaborative workplace with fantastic flexibility
Work in a world-class research & development precinct
Join CSIRO and support Australia's premier scientific organisation!
This is a research scientist position, expected to conduct research on efficient machine learning algorithms for time-series data on edge devices and implement such algorithms on edge hardware, for projects in digital agriculture – eGrazor, digital manufacturing – FDMF/Maven, and smart building/digital twin domains. Specifically, the position will develop lightweight ML models to analyse multi-modal time-series data from multiple edge devices and sensors such as temperature/humidity, or accelerometer, to understand/classify the context in which a sensor device operates, or identify activities of the target object.",3.7,"CSIRO
3.7",Brisbane,5001 to 10000 Employees,1926,Government,National Services & Agencies,Government & Public Administration,$500 million to $1 billion (USD)
128,Technical Leader - Machine Learning,Employer Provided Salary:$117K - $138K,"The Opportunity
IMT’s Scientific Computing provides CSIRO scientists access to dedicated end-to-end high-performance storage, computing, and network infrastructure, as well as advanced research services. The Scientific Computing teams support a range of systems from corporate IT systems through to world-class High-Performance data storage and processing. In addition, the Scientific Computing Services teams deliver expertise in data analytics and visualisation, research software engineering, modelling and dataflows, and technical solutions. The capability is highly customer focussed and operates in close partnership with all areas of CSIRO research.
Endless opportunities to grow & develop your career
Innovative and collaborative workplace with fantastic flexibility
Join CSIRO - Australia's premier research organisation",3.7,"CSIRO
3.7",Perth,5001 to 10000 Employees,1926,Government,National Services & Agencies,Government & Public Administration,$500 million to $1 billion (USD)
129,Software Engineer - Computer Graphics / Computer Vision,Employer Provided Salary:$87K - $107K,"The Opportunity
CSIRO’s Data61 is the digital technologies and data science arm of Australia’s national science agency. With around 400 staff and another 300 affiliate staff, Data61 represents one of the largest collections of R&D expertise in artificial intelligence, data science, cybersecurity, robotics, and software engineering in the world. With a focus on impact-driven science and technology, Data61 works across disciplines and industry sectors to solve some of the world’s greatest challenges through digital R&D.
Your role as Software Engineer in CSIRO is to collaborate in scientific and innovation activities with other research staff and students usually by assisting with detailed planning, undertaking, or assisting experience design, software development, and system evaluation. This position also includes the opportunity and encouragement to publish research results in international conferences and journals.",3.7,"CSIRO
3.7",Canberra,5001 to 10000 Employees,1926,Government,National Services & Agencies,Government & Public Administration,$500 million to $1 billion (USD)
130,"Professor, Artificial Intelligence and Machine Learning",Employer Provided Salary:$196K,"Job no: 527462
Work type: Full-time
Location: Geelong - Waurn Ponds
Categories: Information Technology, Science
Based at our Geelong Waurn Ponds Campus
Full-time, Continuing position
Level E $196,400 + 17% Superannuation
Founded in 1974, Deakin is a public university in Victoria with 61,000 students across five campuses: Melbourne Burwood, Geelong Waurn Ponds, Geelong Waterfront, Warrnambool, and the online Cloud Campus. We are a progressive and open-minded university, with the highest student satisfaction in Victoria and consistently ranked in the top 1% of the world’s universities.",4.0,"Deakin University
4.0",Waurn Ponds,1001 to 5000 Employees,1974,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD)
131,Senior ML/NLP Engineer,-1,Seeking a talented Data Scientist and AI engineer with 5+ years experience who is passionate about developing world-class solutions for clients,5.0,"Affinda
5.0",Remote,51 to 200 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
132,Artificial Intelligence (AI) / Machine Learning (ML) Go to Market Specialist,-1,"Basic qualifications
10+ years of technology related sales or business development experience
BA/BS degree or equivalent experience required
10+ years’ experience in enterprise selling, outsourcing, management consulting or managed services (preferably cloud)
3+ years working domain experience in machine learning, artificial intelligence, or related technologies
Job summary
Are you energised to create new markets for Artificial Intelligence (AI), Machine Learning (ML), and Deep Learning (DL) technology? Do you love building new businesses?

AWS is seeking an AI/ML Go-To-Market (GTM) Specialist to define, build and lead the business development efforts at AWS to commercialise the AWS AI/ML platform. As an AI/ML Specialist you will be responsible for defining, building and deploying effective and targeted programs to accelerate broad based sales and business development activities for the AWS ML platform with a focus on large scale distributed training.

You will work directly with customers on a daily basis to help them select the right AWS ML technologies. Your work will define and drive the process that the organisation follows to accelerate sales and partner engagements of the AWS ML portfolio in your region and you will synthesise data and information gathered from these customers and partners into the AWS GTM strategy for machine learning to successfully commercialise the platform in the local market. This entails deriving succinct findings, developing strategic insights, and persuasively communicating those findings and perspectives from customer engagements to product and sales teams, including senior management.

You will join a team who are the outward face of AWS AI/ML and will define and execute the market development activities for ML services including Amazon SageMaker. You will leverage worldwide programs or campaigns and work closely with AWS Specialists for other technologies (Containers, Serverless, Analytics), sales, marketing, solutions architects, and partner teams, to position the AWS ML platform for customers and partners. You will also be helping AWS Sales become more comfortable with AI/ML use cases and technologies.

The ideal candidate will possess a business and machine learning or data analytics background, and will have a foundation of having directly driven customer engagements and interactions at the highest levels of large enterprises and technology partners. The candidate will have the technical depth and business experience to easily communicate the benefits of AI/ML services, platforms and frameworks in the AWS cloud to IT architects, engineering teams, and C-Level executives.

Additionally, the ideal candidate will have a demonstrated ability to think strategically and long-term in an ambiguous environment. The ideal candidate will be deeply familiar with complex legacy IT environments, managed enterprise IT infrastructure services, enterprise applications, and will have performed market analysis, deal negotiation and construction, field readiness, and business operations. Finally, the candidate will have a background that enables them to create scalable programs that apply holistic approaches to selling to enterprises and enterprise partners.


In the spirit of reconciliation Amazon acknowledges the Traditional Custodians of country throughout Australia and their connections to land, sea and community. We pay our respect to their elders past and present and extend that respect to all Aboriginal and Torres Strait Islander peoples today.


Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer, and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected attributes.",3.8,"AWS Australia Pty Ltd
3.8",Sydney,1001 to 5000 Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
133,Insights and Analytics Manager,Employer Provided Salary:$134K - $155K,"Insights and Analytics Manager, Ongoing, Sydney

Clerk Grade 11/12

Barangaroo, Sydney

Base remuneration Package $134,411 - $155,445 plus superannuation and leave loading

Are you looking for a purposeful role empowering you to drive innovation, and work flexibly? Join the Team!",-1,NSW Government -Infrastructure NSW,Sydney,-1,-1,-1,-1,-1,-1
134,Brand Partner Specialist (Data and Artificial Intelligence),$62K - $62K (Glassdoor Est.),"Introduction
Due to rapid growth in the Victoria and Australian Capital Territory regions, IBM is searching for a Brand Partner Specialist to join our expanding sales team.

Your Role and Responsibilities
Vibrant and innovative sales environment
The opportunity to work on large and complex deals
Permanent opportunity based in either our Canberra or Melbourne offices

Within your assigned territory (Victoria or Australian Capital Territory) you will 'sell with' your partner ecosystem. This is not just a channel sales role, you are responsible for identifying end-customer requirements, collaborating with partners to solution sell with confidence and credibility.






As above


As above",4.1,"IBM
4.1",Canberra,10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
135,Research Engineer - Machine Learning,$84K - $114K (Glassdoor Est.),"SA, Mawson Lakes
Engineering
10798BR
About us:
STELaRLab is Lockheed Martin’s first dedicated multi-disciplinary research lab to be setup outside of the US and conducts research in artificial intelligence, signal and image processing, communication systems and multidomain operations (MDO) to deliver exciting outcomes that advance Australian capability.

STELaRLab maintains strong partnerships with academia, government, and wider industry to execute research and development from conceptual prototyping through to simulated and/or live trials. This exciting new position will be located and works closely with the Australian Institute of Machine Learning (AIML), working with world-class researchers with the opportunity to build your career and reputation and work in one of the world’s most liveable cities.

AIML is Australia’s leading research institute in machine learning, artificial intelligence and computer vision. With world-leading researchers, modern facilities and an innovative culture, delivering research that is highly valued to local and global communities. AIML is the largest computer vision and machine learning group in Australia with over 130 members including academics, research staff and students. The institute works on a mixture of fundamental and commercially orientated research projects in computer vision and machine learning, with a strong track record of publication in the top venues. The University’s Computer Vision research is amongst the best in the world. Find out more at https://www.adelaide.edu.au/aiml/home.",4.1,"Lockheed Martin Australia
4.1",Adelaide,10000+ Employees,1995,Company - Public,Aerospace & Defence,Aerospace & Defence,$10+ billion (USD)
136,Machine Learning (ML) Engineers,Employer Provided Salary:$110K - $160K,"100% ML driven organisation. Multiple products in the live in the market,
Outstanding company culture, huge career growth potentials.
Cutting Edge Machine Learning (ML) Engineering stack -Spark, Tensorflow, PyTorch

Datasource Services has extensive, international experience placing skilled candidates within Business Intelligence, Data Warehouse and Data Science. Our network spans across Australia and New Zealand with a wide range of clients ranging from tier ones to start-ups. People and Data are at the heart of everything we do! Join the Datasource community today at www.datasourceservices.com.au

We have multiple Machine Learning (ML) Engineering opportunities within a leading AI/ML product based company with offices in both Sydney and Melbourne. This company are one of the original AI product based companies in Australia and are currently expanding their product suite globally. As a result, we are looking for Mid Level & Senior Machine Learning Engineers to join the team.




You'll be working in a high-performing team environment. You'll work on some of Australia's most advanced ML/AI products and have the ability to progress your career to the next level. This organisation focus on building excellent products, whilst also having a great team culture. Don't miss out",1.0,"Datasource Services Pty Ltd
1.0",Sydney,Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1
137,Data Scientist,Employer Provided Salary:$150K - $200K,"Developing credit models
Monitoring model performance
credit risk team
We are looking for a data scientist to join as a senior modelling analyst for the credit risk team. This is a rapidly growing FinTech dedicated to serving the needs of Australian SMEs. Our focus is to provide exceptional levels of customer service to businesses in all sectors across the whole of Australia.

They have the funding and ability to generate exponential growth in our business and are hiring exceptional team members to help us achieve this goal. This is an amazing opportunity to be part of a fast-growing, highly successful lending company where you can make a huge difference",3.9,"Motion Recruitment
3.9",Sydney,501 to 1000 Employees,1989,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
138,Machine Learning Engineer,$90K - $115K (Glassdoor Est.),"We’ve only just begun, but what a beginning. In a once in a generation moment, we’ve brought together powerful brands to create one united force. TPG Telecom has a powerhouse of brands which include Vodafone, TPG, iiNet, Internode, Lebara, AAPT and felix. The latest technology and brave thinking let us connect our people and communities. You could play a role in that. A big one. We invite you to bring your boldness and stand out. You are empowered. Opportunities are plenty for those ready to accept the challenge.
This opportunity
Reporting to the Senior Manager, Analytics and Data Science in the Group Data and Analytics function, the Machine Learning Engineer will be responsible for the design, development and industrialisation of automated Machine Learning pipelines that meet our organisation requirements.",3.6,"TPG Telecom
3.6",North Sydney,501 to 1000 Employees,2020,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$2 to $5 billion (USD)
139,Data Scientist,Employer Provided Salary:$110K - $140K,"Job Description:
Experience of working on Integration Technologies like WSO2 or similar
Minimum 3 Years of hands-on experience on WSO2 ESB, working knowledge of proxy services, connectors, error handling, custom mediators and good debugging skills
Certified WSo2 Developer in EI, APIM and IAM
Hands-on experience in designing and developing high volume web services using API Protocols and Data Formats (REST, JSON, SOAP & XML).
Experience in WSO2 API Manager for designing API facades and designing and implementing API Proxies.
Experience in securing APIs using OAuth, SAML, Open ID Connect, etc.",-1,GoTech Solutions Pty Ltd,Sydney,Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1
140,Machine Learning Engineer,$108K - $148K (Glassdoor Est.),"About oOh!:
oOh! is a leading operator in Australia and New Zealand’s fast-growing Out Of Home advertising industry and our purpose is to make public spaces better! We create deep engagement between people and brands through Unmissable location-based media solutions that inform, entertain and inspire. Our network is unparalleled, with a diverse portfolio of 37,000 classic and digital signs across roadside, retail, airport and place-based media offering in CBD office towers, cafés, bars and universities.
Investing heavily in technology, we use sophisticated data, industry leading insights and digital innovation, to enable clients to maximise their media investment, through unrivalled and accurate audience targeting. Our physical inventory integrates with experiential, social and mobile online channels to provide clients with greater connections with consumers.",3.6,"oOh!
3.6",South Melbourne,201 to 500 Employees,1989,Company - Public,Advertising & Public Relations,Media & Communication,$100 to $500 million (USD)
141,Machine Learning Engineer,$115K - $135K (Glassdoor Est.),"Machine Learning Developer
Permanent role
Surry Hills based with WFH flexibility
Work on a wide range of high impact projects
About WooliesX
WooliesX is part of the Woolworths Group. We’re an innovation business that brings together the brightest minds in e-commerce, technology, media and data to transform the way people
live and shop. We’re here to create better everyday experiences for our customers. In the big picture, and the fine detail. In moments big and small.",3.7,"WooliesX
3.7",Darlinghurst,10000+ Employees,1924,Company - Public,Grocery Stores,Retail & Wholesale,$10+ billion (USD)
142,Research Fellow (Blockchain/Data Science),$93K - $115K (Glassdoor Est.),"Responsibilities:
Focus on blockchain, cryptography, security and/or Data Science research
Work with blockchain engineer team to develop blockchain prototype solutions for given use cases
Produce instruction manuals and methodology reference
Deliver technical instruction and knowledge to blockchain engineer team
Use data science to guide project strategic decisions
Required Skills & Experience:
Extensive knowledge in key areas of blockchain research (e.g. side chains, confidential transactions, data privacy, and other scaling methodologies, etc)",4.0,"Aglive
4.0",Sydney,Unknown,Company - Private,Unknown / Non-Applicable,-1,-1,-1
143,Lecturer – Centre for Big Data Research in Health,Employer Provided Salary:$113K - $133K,"Job no: 510834
Work type: full time
Location: Sydney, NSW
Categories: Lecturer
Lecturer – Centre for Big Data Research in Health
Employment Type: Full time (35 hour week)
Duration: 3 year fixed term (convertible tenure track)
Remuneration: $112,679 - $132,832 (Level B) + 17% Super and leave loading
Location: Kensington, NSW (Hybrid Flexible Working)
About UNSW:",4.2,"University of New South Wales
4.2",Sydney,1001 to 5000 Employees,1949,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
144,"Staff Engineer, Machine Learning",-1,"Xero is a beautiful, easy-to-use platform that helps small businesses and their accounting and bookkeeping advisors grow and thrive.

At Xero, our purpose is to make life better for people in small business, their advisors, and communities around the world. This purpose sits at the centre of everything we do. We support our people to do the best work of their lives so that they can help small businesses succeed through better tools, information and connections. Because when they succeed they make a difference, and when millions of small businesses are making a difference, the world is a more beautiful place.

About the team

Xero’s Machine Learning solutions operate as evolving products that are owned in cross functional pods made up of Applications engineers, Applied scientists, Data and Platform engineers. Our teams have been largely geographically co-located, however in today’s world of remote working we are now open to remote working. Our teams remain connected to the global guilds of their specific discipline to leverage and share practices and tools. We are evolving and maturing constantly!",4.2,"Xero
4.2",Remote,1001 to 5000 Employees,2006,Company - Public,Computer Hardware Development,Information Technology,$100 to $500 million (USD)
145,Software Engineer- Machine Learning,Employer Provided Salary:$100K - $120K,"Job Summary
At Zendesk, our focus is helping our customers build great relationships with their customers. Founded by three Danish entrepreneurs, Zendesk has experienced remarkable success and growth while maintaining a fun, positive, and down-to-earth culture.
Many years ago we recognised the power of machine learning to predict outcomes and guide people to potential answers when they have a question. We have built and launched a number of machine learning powered products such as Answer Bot, Content Cues and Flow Builder. These products are all developed out of Melbourne, Australia.
We are looking for a Machine Learning Engineer to deliver our scientists’ models to our 145,000+ customers. The ideal candidate will have some experience as a software engineer, a desire to work adjacent to ML/AI and a deep interest in building ML products.",4.2,"Zendesk
4.2",Melbourne,5001 to 10000 Employees,2007,Company - Public,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD)
146,Data Scientist/ Senior Analyst | Multiple Locations,$95K - $100K (Glassdoor Est.),"Date: 09-Sep-2022

Location:
Melbourne, VIC, AU Sydney, NSW, AU Perth, WA, AU

Department: Audit and Assurance

Description:
Job Requisition ID: 29425

Role can be based in Sydney, Melbourne or Perth

About our team

The A&A Analytic Solutions team is at the heart of the Audit & Assurance Digital Strategy across Deloitte Asia Pacific. Our team of data technologists (Artificial Intelligence / Machine Learning / Deep Learning), designers, developers and management consultants coupled with our proprietary data platform powers the next generation offerings helping clients make better data-driven decisions. We're absolute data nerds and love working with numbers and large data sets (the more unstructured, the better). Data brings us together; our difference inspires creativity and our focus on culture is our adhesive!

What will your typical day look like?

Advising clients to help solve real-life business problems across diverse industries through use of data, cloud, analytics and AI technologies
Performing “hands on” statistical and machine learning modelling, computations, and data engineering
Involvement in identifying trends and innovation in deep learning, machine learning and related technologies

Enough about us let's talk about you. You’re someone with…

Strong track record in understanding business problems and implementing analytical solutions
3 – 5 years relevant work experience with data analytics, feature engineering and model development using market leading machine learning and deep learning techniques
Expertise in writing production code using Python
Fluency in data querying and manipulation using cloud-based SQL and NoSQL database technologies
Experience in utilising modern MLOps/DevOps approaches to manage and deploy models at scale on Azure (preferred), AWS or GCP.
Experience with Big Data analytics, including Hadoop, Spark, graph analytics would be desirable.
Additional experience with other programming languages is ideal
Ideally experience in building ML solutions within a Finance Function

Why Deloitte?

At Deloitte, we create positively differentiated work experiences that enable our people to feel valued and achieve their full potential. Deloitte Australia opens the door to a career that can cross borders virtually and physically across Asia Pacific to gain experience and access projects beyond Australia’s borders. We value difference, and embrace people with diverse backgrounds, experiences, gender identities, abilities and thinking styles. Knowing that people work best in a variety of ways, we are happy to discuss alternative arrangements if the working pattern you are looking for is not specifically indicated.

We’re committed to continually building a safe and respectful workplace, where all our people feel appreciated and accepted. Through the creation of endorsed employee-led diversity networks which promote cultural, disability, LGBTI+, Aboriginal and Torres Strait Islander people and gender equality, we’re leading the way to shape an environment where everybody can thrive.

We are proud to have been recognised for our efforts in inspiring change and accelerating progress – check out our careers site for recent recognition in this space.",4.0,"Deloitte
4.0",Melbourne,10000+ Employees,1850,Company - Private,Accounting & Tax,Finance,$10+ billion (USD)
147,Machine Learning Engineer - Data Engineering,$103K - $145K (Glassdoor Est.),"About us!

Sportsbet's purpose is to bring excitement to life for its customers and we do this by overdelivering on excitement through serious fun, disrupting the status quo and living our values. We’re a flexible, progressive, open-minded, and inclusive employer with over 7000 cool, clever and curious people around the world. We’re a global player, but in Melbourne, Sydney and Darwin we’re tight knit, with 800 of us bringing excitement to life every day.

Our commitment to responsible gambling is genuine and demonstrated through the wide range of responsible gambling initiatives and tools

About The Role

The ML Data Engineer is a key role within Data Platforms, responsible for delivering innovative and sustainable data driven solutions to provide Sportsbet a competitive advantage in the market. This is an exciting opportunity support our Data Modernisation initiative, delivering the target state data and ML platforms, along with delivering key components back into our international Flutter brands for wider use.",3.5,"Sportsbet
3.5",Melbourne,1001 to 5000 Employees,1993,Company - Private,Gambling & Betting,"Arts, Entertainment & Recreation",Unknown / Non-Applicable
148,Statistician - Data Analytics and Insights,-1,"The 'Apply with SEEK' option will be utilized for International applicants, mainly Australia.
Taking care of people is at the heart of everything we do, and we start by taking care of you, our valued colleague. A career at Sedgwick means experiencing our culture of caring. It means having flexibility and time for all the things that are important to you. It’s an opportunity to do something meaningful, each and every day. It’s having support for your mental, physical, financial and professional needs. It means sharpening your skills and growing your career. And it means working in an environment that celebrates diversity and is fair and inclusive.
A career at Sedgwick is where passion meets purpose to make a positive impact on the world through the people and organizations we serve. If you are someone who is driven to make a difference, who enjoys a challenge and above all, if you’re someone who cares, there’s a place for you here. Join us and contribute to Sedgwick being a great place to work.

Great Place to Work®
Most Loved Workplace®
Forbes Best-in-State Employer
Statistician - Data Analytics and Insights",3.1,"Sedgwick
3.1",Brisbane,10000+ Employees,1969,Company - Private,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD)
149,Senior Machine Learning Engineer,$143K - $188K (Glassdoor Est.),"Company Description

It all started with an idea at Block in 2013. Initially built to take the pain out of peer-to-peer payments, Cash App has gone from a simple product with a single purpose to a dynamic app, bringing a better way to send, spend, invest, borrow and save to our millions of monthly active users. With a mission to redefine the world's relationship with money by making it more relatable, available and accessible, at Cash App you'll have the opportunity to make a real-world impact with your career.
Today, Cash App has thousands of employees around the world with a culture geared toward creativity, collaboration and impact. We’ve been a distributed team since day one, and continue to value working across time zones and continents both remotely and in our Cash App offices.
Our offices are great, but many of our roles can be done remotely from the countries where Block operates. We tailor our experience to champion our employees’ creativity and productivity wherever they are.",4.5,"Cash App
4.5",Sydney,1001 to 5000 Employees,2013,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
150,Senior Data Scientist,$144K - $170K (Glassdoor Est.),"Senior Data Scientist
VGW is a fast-growing technology company and creator of market-leading online social games. With offices across Australia, USA, Canada, Malta and the Philippines we are on a mission to be the biggest gaming company in the world!
Due to major growth we are expanding our Technology team in Sydney and currently looking for a Senior Data Scientist to join the team.
As a Senior Data Scientist, you'll identify, scope and lead the undertaking of a range of research and modelling projects leveraging all available data assets to help solve complex business problems.
Key responsibilities will include:",3.9,"VGW
3.9",Sydney,501 to 1000 Employees,2010,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
151,Analytics Lead,Employer Provided Salary:$144K - $166K,"What is Drumline?
Drumline Digital is an agency bridging the gap between marketing and technology, founded to do 3 things:
· understand how digital channels meet customers’ needs
· champion an experiment-driven mindset in our clients to build experiences based on customer understanding and measure the outcomes
· ensure that the right tech foundations are in place to deliver on those promises
We’re a small, tight team and we thrive on solving hard problems for our clients and for ourselves. This means constantly evolving the ways that we work, and we rely on each other to shape how we get to the right solutions.",-1,Drumline Digital,Sydney,-1,-1,-1,-1,-1,-1
152,Data Analyst and Senior Data Analyst (multiple roles) - Marketing Analytics,$100K - $148K (Glassdoor Est.),"About the role
Job Title: Data Analyst and Senior Data Analyst (multiple roles) – Marketing Analytics
Location: Docklands, Melbourne (Hybrid)
Type: Permanent

We have multiple roles for an Experienced Data Analyst and a Senior Data Analyst available within the Marketing Analytics team.

The Marketing Analytics mission is to enable targeted customer growth and retention by using meaningful data, scientific methods and automation to make the best decisions and provide highly-relevant and timely communications in-channel. You will seek to intimately understand the underlying needs and objectives of business stakeholders, conduct deep analysis identify rich personalisation opportunities, and implement and monitor arbitration, customer decisioning and behavioural rules, triggers and models.


To make the best predictions and personalisation decisions for each customer in-the-moment, balancing strategic objectives with customer experience and financial outcomes
To deliver compelling and actionable personalisation and funnel insights, maintain key customer audiences and business rules, and champion self-service digital insights
What will your day look like
Undertake qualitative, quantitative and desktop research to uncover actionable insights that can improve solutions and identify new opportunities
Apply advanced modelling, statistics, research and causality to understand complex data problems
Design, configure and optimise business rules and frameworks for marketing arbitration, real-time prioritisation and decisioning, and event-driven marketing systems
Design and create methods for monitoring and analysing the effectiveness of the business rules, frameworks and decisions as it relates to customer and business outcomes
Conduct PIRs, opportunity discovery, business-casing and funnel analysis and present insights and actionable recommendations to business stakeholders
Defining, creating and optimising business rules and audiences for always-on personalisation
Customer profiling and segmentation to inform marketing, personalisation and content strategies
Create and maintain tags and data extracts / uploads to ensure optimal digital marketing performance
Peer-review work done by other analysts and contribute to knowledge sharing and skills uplift
Coach and support data literacy and self-service analytics across stakeholders
Contribute to the requirements, design and development of dashboards, data assets, and continuous improvement of analytics methods, processes and tools
What will you bring?
Strong applied experience with rules-based and event-driven customer decisioning and marketing systems – particularly Unica Optimise and Interact; and Adobe Target; and similar knowledge regarding Paid Media platforms. Knowledge of Pega would be of interest.
Knowledge of customer behavioural triggers and contextual decisioning in the context of digital interactions and financial services, including key data sources
Strong written, visual and verbal communication of analysis insights and recommendations to a non-technical audience
Commercial and financial acumen – understand and articulate business drivers and levers
Problem-solving, critical thinking and customer-centric
Analytically-driven inquisitive mindset with a continuous improvement focus
Ability to take a blue-sky opportunity from the ground up – identify, qualify and quantify opportunities, prioritise and execute, and influence stakeholders and work with squad members to deliver outcomes
Strong experience with tools and techniques for analysis, data manipulation and presentation (SQL, Teradata, Python, R, Qliksense, SAS, Tableau highly desired)
Experience combining disparate data from multiple sources to create a complete understanding of a problem or opportunity
Strong ability to create insights from data and develop practical and actionable business recommendations with engaging yet sophisticated visualisations
Knowledge of banking industry, marketing/personalisation data and techniques, and next-best-action / arbitration / real-time decisioning concepts
Experience applying data science features, models and outputs in batch and real-time decisioning platforms
A coaching mindset, able to bring people on a journey and help them grow

You’re not expected to have 100% of these skills. At ANZ a growth mindset is at the heart of our culture and we actively encourage people to try new things.

So, why join us?

At ANZ, everything we do boils down to ‘why’ – our purpose – to shape a world where people and communities thrive. We're just as focused on seeing our people thrive as well as our customers. We'll give you every opportunity to develop your career.

We are responding faster to changing customer requirements, focusing on the things that matter the most, energising our people, eliminating waste and reducing bureaucracy.

A happy workplace is a thriving one. So to attract and keep the best talent, and say thanks for the hard work, we make sure all our employees are rewarded.

We work flexibly at ANZ and encourage you to talk to us about how this role can be flexible for you. Some of the work we do can be done from home, and some from an ANZ workplace – it’s all about what works for your team, and above all else, our customers!

We want to make sure everyone has an inclusive and supportive experience throughout our recruitment process and when joining ANZ. If you are a candidate with a disability, and require adjustments to our recruitment process or the role itself let us know how we can provide you with additional support.

Job Posting End Date

, 11.59pm, (Melbourne Australia)",4.1,"ANZ Banking Group
4.1",Melbourne,10000+ Employees,1835,Company - Public,Banking & Lending,Finance,Unknown / Non-Applicable
153,Data Analyst - Finance Data & Analytics,-1,"The purpose of the role and your unique contribution is to contribute to the development of advanced analytical reporting to deliver insights to the Finance Function, and the broader business teams, so that the company can meet its Business Strategy & Operational Effectiveness Goals.

In this role you will:


Maintain and improve the current data workflows for Finance
Enhance existing datasets and ensure their integrity
Create new finance datasets to enhance finance reporting",4.7,"Mars Recruitment
4.7",Sydney,1 to 50 Employees,2006,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
154,Senior/Data Analyst - Finance Data & Analytics,-1,"The purpose of the role and your unique contribution is to contribute to the development of advanced analytical reporting to deliver insights to the Finance Function, and the broader business teams, so that the company can meet its Business Strategy & Operational Effectiveness Goals.

In this role you will:
Maintain and improve the current data workflows for Finance
Enhance existing datasets and ensure their integrity
Create new finance datasets to enhance finance reporting
Deliver high-quality dashboarding solutions to the Finance business, working with our stakeholders to establish their needs and ensure the toolset & solutions delivered assist in streamlining our operations and creating value for our customers.",4.7,"Mars Recruitment
4.7",Sydney,1 to 50 Employees,2006,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
